main_genre,parent_genre
abstract beats,Avant-Garde & Experimental
abstract hip hop,Avant-Garde & Experimental
ambeat,Avant-Garde & Experimental
ambient,Avant-Garde & Experimental
ambient techno,Avant-Garde & Experimental
american post-rock,Avant-Garde & Experimental
american shoegaze,Avant-Garde & Experimental
anti-folk,Avant-Garde & Experimental
art pop,Avant-Garde & Experimental
art rock,Avant-Garde & Experimental
avant-garde,Avant-Garde & Experimental
avant-garde jazz,Avant-Garde & Experimental
avantgarde metal,Avant-Garde & Experimental
complextro,Avant-Garde & Experimental
compositional ambient,Avant-Garde & Experimental
cyberpunk,Avant-Garde & Experimental
dakke dak,Avant-Garde & Experimental
dark cabaret,Avant-Garde & Experimental
dark techno,Avant-Garde & Experimental
dark wave,Avant-Garde & Experimental
darkstep,Avant-Garde & Experimental
deep minimal techno,Avant-Garde & Experimental
denpa-kei,Avant-Garde & Experimental
destroy techno,Avant-Garde & Experimental
ectofolk,Avant-Garde & Experimental
escape room,Avant-Garde & Experimental
experimental,Avant-Garde & Experimental
experimental hip hop,Avant-Garde & Experimental
experimental rock,Avant-Garde & Experimental
fake,Avant-Garde & Experimental
freak folk,Avant-Garde & Experimental
hyperpop,Avant-Garde & Experimental
industrial,Avant-Garde & Experimental
instrumental post-rock,Avant-Garde & Experimental
laboratorio,Avant-Garde & Experimental
mathcore,Avant-Garde & Experimental
melancholia,Avant-Garde & Experimental
melodic progressive metal,Avant-Garde & Experimental
neo-classical,Avant-Garde & Experimental
neo-psychedelic,Avant-Garde & Experimental
neurofunk,Avant-Garde & Experimental
new tribe,Avant-Garde & Experimental
nightrun,Avant-Garde & Experimental
nintendocore,Avant-Garde & Experimental
noise rock,Avant-Garde & Experimental
outsider,Avant-Garde & Experimental
psychedelic doom,Avant-Garde & Experimental
psychedelic folk,Avant-Garde & Experimental
psychedelic rock,Avant-Garde & Experimental
psychedelic trance,Avant-Garde & Experimental
shibuya-kei,Avant-Garde & Experimental
slam poetry,Avant-Garde & Experimental
song poem,Avant-Garde & Experimental
spacewave,Avant-Garde & Experimental
trancecore,Avant-Garde & Experimental
tzadik,Avant-Garde & Experimental
acoustic blues,Blues & Soul
blues,Blues & Soul
blues-rock,Blues & Soul
british blues,Blues & Soul
british soul,Blues & Soul
canadian blues,Blues & Soul
chicago soul,Blues & Soul
